valid_per_image_iou,valid_dataset_iou,epoch,step,train_per_image_iou,train_dataset_iou
0.8819749355316162,0.8932404518127441,0,206,,
,,0,206,0.815718948841095,0.8210936784744263
0.8955253958702087,0.9040946960449219,1,413,,
,,1,413,0.8943551182746887,0.9051932692527771
0.8959289193153381,0.9048619270324707,2,620,,
,,2,620,0.9114957451820374,0.920904278755188
0.8947595953941345,0.9027840495109558,3,827,,
,,3,827,0.9178366661071777,0.9268754124641418
0.8993165493011475,0.9076641201972961,4,1034,,
,,4,1034,0.9201288223266602,0.928864598274231
